,Restaurant_Name,Restaurant_Category,Rating,price_for_2
159,PUNJABI CHASKA,"Thalis, Indian, Fast Food, Punjabi",,₹200 FOR TWO
160,THE MANSINGH KITCHEN,Indian,,₹350 FOR TWO
161,Canteen central,"American, Pastas, Fast Food, Snacks, Desserts, Beverages, North Indian, Italian",,₹250 FOR TWO
162,Zippy bowls,"Biryani, Chinese, Combo, Desserts, North Indian, Pan-Asian",,₹300 FOR TWO
163,Firangi Bake,"Italian, Mexican, Pastas",,₹400 FOR TWO
164,Costa Grillz,"Chinese, Fast Food",,₹400 FOR TWO
165,New Madras Restaurant,Indian,,₹200 FOR TWO
166,Shravan Meals by Lunchbox,"North Indian, Desserts, Biryani",,₹200 FOR TWO
167,Meal studio,"North Indian, Indian, Combo, Desserts, Beverages, Home Food, Healthy Food, Thali...",,₹250 FOR TWO
168,The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Combo, Desserts",,₹250 FOR TWO
169,The Good Bowl,"North Indian, Biryani, Chinese, Asian, Pastas, Desserts",,₹400 FOR TWO
170,LunchBox,"North Indian, Chinese, Desserts, Biryani",,₹200 FOR TWO
171,binita,"Chinese, North Indian",,₹300 FOR TWO
172,New Mikky restaurant,Indian,,₹800 FOR TWO
173,FamousFoodCafe,"American, Italian, Fast Food",,₹200 FOR TWO
174,Andhra Kodi Pulao,"Biryani, Indian, Kebabs, North Indian, Andhra, Mughlai",,₹350 FOR TWO
175,Lazeez Kebab & Curries,"North Indian, Mughlai",,₹400 FOR TWO
176,Chicken Inn,"Mughlai, Indian, Chinese",,₹600 FOR TWO
177,HOTEL MAIDAH,"North Indian, Snacks, Kebabs",,₹400 FOR TWO
178,Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",,₹150 FOR TWO
179,Shakahari Restaurant (Chawri Bazaar),"North Indian, Indian",,₹300 FOR TWO
180,Bismillah Kebab Point,North Indian,,₹150 FOR TWO
181,Rustoms,Parsi,,₹850 FOR TWO
182,Pindi,"Mughlai, North Indian, Chinese",,₹1200 FOR TWO
183,REHMATULLAH HOTEL,"Indian, Mughlai, Biryani, Desserts",,₹100 FOR TWO
184,JAWAHAR HOTEL,"Indian, Mughlai, Tandoor",,₹600 FOR TWO
185,Ichiban,"Chinese, Thai, Japanese",,₹1500 FOR TWO
186,Chor Bizarre,"Biryani, Mughlai, North Indian",,₹500 FOR TWO
187,Havemore Restaurant ,"North Indian, Mughlai, Kebabs, Biryani, Beverages, Desserts",,₹1000 FOR TWO
188,Giani's,"Ice Cream, Desserts, Beverages, Bakery",,₹200 FOR TWO
189,Shree Jee Rasoi,"North Indian, Chinese",,₹250 FOR TWO
190,Akash Deep,"North Indian, South Indian, Chinese",,₹250 FOR TWO
191,Ganesh Restaurant,"North Indian, Mughlai, Tandoor",,₹400 FOR TWO
192,Ganesh Restaurant,"North Indian, Mughlai, Tandoor",,₹400 FOR TWO
193,Ebony Cafe,Indian,,₹400 FOR TWO
194,AMD DAIRY,"Bakery, Desserts",,₹300 FOR TWO
195,IFC PIZZATREAT,"Pizzas, Desserts",,₹300 FOR TWO
196,ZAIQA CHICKEN CORNER,"Mughlai, Biryani, Barbecue",,₹300 FOR TWO
197,Bhaja Govindam,"South Indian, North Indian",,₹600 FOR TWO
198, High On Desserts ,"Desserts, Fast Food, Beverages, Ice Cream, Cafe, Sweets",,₹120 FOR TWO
199,K.G.F Pizza Point,"Pizzas, Chinese, Snacks, Pastas",,₹199 FOR TWO
